,Fez,,,SHOT NOISE,,,,,,,kingston,,,SHOT NOISE,,,,,,,marrakesh,,,SHOT NOISE,,,,,
,Job,S,? ab,? ab?,? a?b,? a?b?,? S,,,,Job,S,? ab,? ab?,? a?b,? a?b?,? S,,,,Job,S,? ab,? ab?,? a?b,? a?b?,? S,,
,,Kingston,0.042812,0.013538,0.016119,2.656,0.84,1.972,1.01–4.30,0.02432,,,"SE(SD) — uncertainty on that SD estimate, ? SD/?(2(n?1))",,,,,,,,,,,,,,,,
,,Marrakesh,0.037004,0.011702,0.016182,2.287,0.723,1.779,0.87–3.70,0.03759,,,"Ratio SD/Mean — coefficient of variation (CV): fractional run-to-run fluctuation of the shot noise, relative to its mean level",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"SE(R) — standard error of the CV, via the delta-method formula: SE(CV) = CV·?[1/(2(n?1)) + CV²/n]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"Now the ratio is actually informative: Fez has roughly double the relative fluctuation in shot noise (CV ? 2.23%) compared to Marrakesh (?1.15%), with Kingston in between (?1.44%) — none of these overlap within their SE(R), so the difference in run-to-run shot-noise stability between devices looks real rather than just sampling scatter.",,,,,,,,,,,,,,,,
,,this has 16 groups with 4 runs on each group,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Site,Group,S_mean,Var_shot,Var_emp,Ratio,,,,,,,,,,,,,,,,,,,,,,,
,Fez,1,2.7205,2.62E-04,5.79E-05,0.221,,,,,,,,,,,,,,,,,,,,,,,
,Fez,2,2.5939,2.83E-04,1.66E-04,0.586,,,,,,,,,,,,,,,,,,,,,,,
,Fez,3,2.7098,2.64E-04,2.04E-04,0.773,,"Overall: ?² = 50.0, dof = 48, p = 0.39, overall ratio = 1.05 — pooled across all three devices, the data is fully consistent with a shot-noise-only explanation. No detectable excess.",,,,,,,,,,,,,,,,,,,,,
,Fez,4,2.5154,2.95E-04,4.66E-04,1.584,,"Fez: ?² = 10.9, dof = 15, p = 0.76, ratio = 0.75 — shot-noise limited (if anything, slightly under-dispersed relative to shot noise, though not significantly).",,,,,,,,,,,,,,,,,,,,,
,Fez,5,2.6767,2.70E-04,1.29E-04,0.479,,"Kingston: ?² = 14.0, dof = 18, p = 0.73, ratio = 0.78 — same, shot-noise limited.",,,,,,,,,,,,,,,,,,,,,
,Kingston,1,2.7644,2.66E-04,2.29E-04,0.859,,"Marrakesh: ?² = 25.0, dof = 15, p = 0.049, ratio = 1.69 — this is the one borderline-significant result, and it's almost entirely driven by group 2, which has a 4.1× excess-variance ratio on its own.",,,,,,,,,,,,,,,,,,,,,
,Kingston,2,2.6662,2.76E-04,1.57E-04,0.57,,,,,,,,,,,,,,,,,,,,,,,
,Kingston,3,2.7687,2.59E-04,4.77E-04,1.84,,,,,,,,,,,,,,,,,,,,,,,
,Kingston,4,2.7166,2.63E-04,1.62E-04,0.614,,,,,,,,,,,,,,,,,,,,,,,
,Kingston,5,2.7767,2.62E-04,5.81E-05,0.221,,,,,,,,,,,,,,,,,,,,,,,
,Kingston,6,2.7162,2.68E-04,1.54E-04,0.573,,,,,,,,,,,,,,,,,,,,,,,
,Marrakesh,1,2.7398,2.67E-04,9.53E-05,0.357,,,,,,,,,,,,,,,,,,,,,,,
,Marrakesh,2,2.6589,2.79E-04,1.15E-03,4.114,,,,,,,,,,,,,,,,,,,,,,,
,Marrakesh,3,2.7525,2.60E-04,4.54E-04,1.747,,,,,,,,,,,,,,,,,,,,,,,
,Marrakesh,4,2.7272,2.67E-04,9.72E-05,0.364,,,,,,,,,,,,,,,,,,,,,,,
,Marrakesh,5,2.7212,2.62E-04,4.63E-04,1.765,,,,,,,,,,,,,,,,,,,,,,,
